id,value
id_0,70
id_1,62
id_2,19
id_3,14
id_4,6
id_5,29
id_6,24
id_7,45
id_8,22
id_9,22
id_10,9
id_11,18
id_12,23
id_13,29
id_14,27
id_15,20
id_16,15
id_17,27
id_18,23
id_19,21
id_20,11
id_21,11
id_22,24
id_23,35
id_24,51
id_25,39
id_26,14
id_27,22
id_28,0
id_29,14
id_30,0
id_31,51
id_32,30
id_33,34
id_34,23
id_35,9
id_36,22
id_37,6
id_38,9
id_39,11
id_40,27
id_41,27
id_42,39
id_43,9
id_44,25
id_45,9
id_46,44
id_47,11
id_48,9
id_49,60
id_50,13
id_51,21
id_52,0
id_53,39
id_54,61
id_55,66
id_56,19
id_57,41
id_58,37
id_59,44
id_60,32
id_61,13
id_62,18
id_63,29
id_64,25
id_65,11
id_66,6
id_67,18
id_68,13
id_69,11
id_70,13
id_71,0
id_72,19
id_73,29
id_74,19
id_75,34
id_76,9
id_77,51
id_78,31
id_79,6
id_80,62
id_81,48
id_82,21
id_83,9
id_84,11
id_85,21
id_86,29
id_87,42
id_88,9
id_89,22
id_90,6
id_91,20
id_92,20
id_93,18
id_94,22
id_95,11
id_96,18
id_97,20
id_98,22
id_99,21
id_100,19
id_101,14
id_102,19
id_103,70
id_104,57
id_105,26
id_106,35
id_107,42
id_108,0
id_109,0
id_110,4
id_111,41
id_112,27
id_113,27
id_114,11
id_115,25
id_116,23
id_117,21
id_118,20
id_119,6
id_120,14
id_121,22
id_122,25
id_123,42
id_124,27
id_125,9
id_126,36
id_127,0
id_128,25
id_129,46
id_130,4
id_131,31
id_132,11
id_133,29
id_134,60
id_135,24
id_136,34
id_137,31
id_138,41
id_139,50
id_140,32
id_141,13
id_142,0
id_143,29
id_144,9
id_145,20
id_146,9
id_147,22
id_148,16
id_149,21
id_150,18
id_151,6
id_152,9
id_153,29
id_154,37
id_155,19
id_156,19
id_157,62
id_158,36
id_159,0
id_160,62
id_161,21
id_162,19
id_163,62
id_164,23
id_165,21
id_166,30
id_167,62
id_168,9
id_169,20
id_170,6
id_171,22
id_172,22
id_173,18
id_174,22
id_175,13
id_176,13
id_177,20
id_178,9
id_179,19
id_180,16
id_181,13
id_182,0
id_183,62
id_184,48
id_185,4
id_186,21
id_187,50
id_188,13
id_189,34
id_190,0
id_191,31
id_192,21
id_193,29
id_194,13
id_195,31
id_196,22
id_197,20
id_198,9
id_199,9
id_200,14
id_201,22
id_202,16
id_203,30
id_204,29
id_205,9
id_206,41
id_207,14
id_208,72
id_209,22
id_210,37
id_211,59
id_212,13
id_213,29
id_214,21
id_215,7
id_216,14
id_217,29
id_218,29
id_219,30
id_220,24
id_221,4
id_222,14
id_223,11
id_224,16
id_225,20
id_226,14
id_227,29
id_228,25
id_229,18
id_230,4
id_231,0
id_232,9
id_233,34
id_234,30
id_235,6
id_236,26
id_237,62
id_238,37
id_239,9
