id,value
id_0,22
id_1,16
id_2,17
id_3,14
id_4,0
id_5,24
id_6,36
id_7,18
id_8,6
id_9,16
id_10,13
id_11,16
id_12,16
id_13,11
id_14,6
id_15,11
id_16,21
id_17,23
id_18,9
id_19,9
id_20,0
id_21,9
id_22,16
id_23,6
id_24,16
id_25,9
id_26,18
id_27,11
id_28,22
id_29,9
id_30,6
id_31,0
id_32,22
id_33,23
id_34,11
id_35,21
id_36,19
id_37,17
id_38,0
id_39,0
id_40,0
id_41,36
id_42,16
id_43,18
id_44,0
id_45,16
id_46,16
id_47,16
id_48,16
id_49,9
id_50,16
id_51,18
id_52,0
id_53,11
id_54,24
id_55,21
id_56,9
id_57,24
id_58,17
id_59,24
id_60,6
id_61,24
id_62,16
id_63,16
id_64,13
id_65,11
id_66,13
id_67,21
id_68,24
id_69,13
id_70,16
id_71,16
id_72,6
id_73,0
id_74,9
id_75,6
id_76,14
id_77,0
id_78,16
id_79,13
id_80,6
id_81,18
id_82,0
id_83,17
id_84,11
id_85,0
id_86,9
id_87,7
id_88,7
id_89,18
id_90,9
id_91,0
id_92,7
id_93,0
id_94,15
id_95,17
id_96,6
id_97,0
id_98,0
id_99,11
id_100,9
id_101,7
id_102,0
id_103,0
id_104,11
id_105,16
id_106,17
id_107,7
id_108,9
id_109,0
id_110,11
id_111,11
id_112,14
id_113,18
id_114,9
id_115,9
id_116,11
id_117,15
id_118,21
id_119,0
id_120,0
id_121,11
id_122,0
id_123,9
id_124,0
id_125,18
id_126,18
id_127,0
id_128,11
id_129,9
id_130,0
id_131,18
id_132,17
id_133,6
id_134,11
id_135,11
id_136,18
id_137,24
id_138,16
id_139,21
id_140,9
id_141,6
id_142,16
id_143,14
id_144,9
id_145,9
id_146,24
id_147,0
id_148,14
id_149,14
id_150,9
id_151,11
id_152,18
id_153,0
id_154,7
id_155,17
id_156,9
id_157,18
id_158,0
id_159,0
id_160,16
id_161,11
id_162,14
id_163,18
id_164,16
id_165,18
id_166,19
id_167,0
id_168,6
id_169,17
id_170,18
id_171,14
id_172,0
id_173,0
id_174,16
id_175,0
id_176,11
id_177,6
id_178,11
id_179,16
id_180,16
id_181,9
id_182,13
id_183,18
id_184,0
id_185,16
id_186,11
id_187,18
id_188,14
id_189,9
id_190,9
id_191,0
id_192,18
id_193,0
id_194,17
id_195,11
id_196,16
id_197,9
id_198,9
id_199,23
id_200,0
id_201,23
id_202,23
id_203,11
id_204,16
id_205,9
id_206,9
id_207,23
id_208,0
id_209,6
id_210,16
id_211,0
id_212,18
id_213,0
id_214,9
id_215,0
id_216,23
id_217,16
id_218,9
id_219,6
id_220,19
id_221,21
id_222,11
id_223,0
id_224,6
id_225,0
id_226,11
id_227,16
id_228,18
id_229,0
id_230,24
id_231,11
id_232,16
id_233,11
id_234,9
id_235,0
id_236,0
id_237,0
id_238,18
id_239,0
