id,value,
id_0,43,22
id_1,37,16
id_2,38,17
id_3,35,14
id_4,21,0
id_5,45,24
id_6,57,36
id_7,39,18
id_8,27,6
id_9,37,16
id_10,34,13
id_11,37,16
id_12,37,16
id_13,32,11
id_14,27,6
id_15,32,11
id_16,42,21
id_17,44,23
id_18,30,9
id_19,30,9
id_20,21,0
id_21,30,9
id_22,37,16
id_23,27,6
id_24,37,16
id_25,30,9
id_26,39,18
id_27,32,11
id_28,43,22
id_29,30,9
id_30,27,6
id_31,21,0
id_32,43,22
id_33,44,23
id_34,32,11
id_35,42,21
id_36,40,19
id_37,38,17
id_38,21,0
id_39,21,0
id_40,21,0
id_41,57,36
id_42,37,16
id_43,39,18
id_44,21,0
id_45,37,16
id_46,37,16
id_47,37,16
id_48,37,16
id_49,30,9
id_50,37,16
id_51,39,18
id_52,21,0
id_53,32,11
id_54,45,24
id_55,42,21
id_56,30,9
id_57,45,24
id_58,38,17
id_59,45,24
id_60,27,6
id_61,45,24
id_62,37,16
id_63,37,16
id_64,34,13
id_65,32,11
id_66,34,13
id_67,42,21
id_68,45,24
id_69,34,13
id_70,37,16
id_71,37,16
id_72,27,6
id_73,21,0
id_74,30,9
id_75,27,6
id_76,35,14
id_77,21,0
id_78,37,16
id_79,34,13
id_80,27,6
id_81,39,18
id_82,21,0
id_83,38,17
id_84,32,11
id_85,21,0
id_86,30,9
id_87,28,7
id_88,28,7
id_89,39,18
id_90,30,9
id_91,21,0
id_92,28,7
id_93,21,0
id_94,36,15
id_95,38,17
id_96,27,6
id_97,21,0
id_98,21,0
id_99,32,11
id_100,30,9
id_101,28,7
id_102,21,0
id_103,21,0
id_104,32,11
id_105,37,16
id_106,38,17
id_107,28,7
id_108,30,9
id_109,21,0
id_110,32,11
id_111,32,11
id_112,35,14
id_113,39,18
id_114,30,9
id_115,30,9
id_116,32,11
id_117,36,15
id_118,42,21
id_119,21,0
id_120,21,0
id_121,32,11
id_122,21,0
id_123,30,9
id_124,21,0
id_125,39,18
id_126,39,18
id_127,21,0
id_128,32,11
id_129,30,9
id_130,21,0
id_131,39,18
id_132,38,17
id_133,27,6
id_134,32,11
id_135,32,11
id_136,39,18
id_137,45,24
id_138,37,16
id_139,42,21
id_140,30,9
id_141,27,6
id_142,37,16
id_143,35,14
id_144,30,9
id_145,30,9
id_146,45,24
id_147,21,0
id_148,35,14
id_149,35,14
id_150,30,9
id_151,32,11
id_152,39,18
id_153,21,0
id_154,28,7
id_155,38,17
id_156,30,9
id_157,39,18
id_158,21,0
id_159,21,0
id_160,37,16
id_161,32,11
id_162,35,14
id_163,39,18
id_164,37,16
id_165,39,18
id_166,40,19
id_167,21,0
id_168,27,6
id_169,38,17
id_170,39,18
id_171,35,14
id_172,21,0
id_173,21,0
id_174,37,16
id_175,21,0
id_176,32,11
id_177,27,6
id_178,32,11
id_179,37,16
id_180,37,16
id_181,30,9
id_182,34,13
id_183,39,18
id_184,21,0
id_185,37,16
id_186,32,11
id_187,39,18
id_188,35,14
id_189,30,9
id_190,30,9
id_191,21,0
id_192,39,18
id_193,21,0
id_194,38,17
id_195,32,11
id_196,37,16
id_197,30,9
id_198,30,9
id_199,44,23
id_200,21,0
id_201,44,23
id_202,44,23
id_203,32,11
id_204,37,16
id_205,30,9
id_206,30,9
id_207,44,23
id_208,21,0
id_209,27,6
id_210,37,16
id_211,21,0
id_212,39,18
id_213,21,0
id_214,30,9
id_215,21,0
id_216,44,23
id_217,37,16
id_218,30,9
id_219,27,6
id_220,40,19
id_221,42,21
id_222,32,11
id_223,21,0
id_224,27,6
id_225,21,0
id_226,32,11
id_227,37,16
id_228,39,18
id_229,21,0
id_230,45,24
id_231,32,11
id_232,37,16
id_233,32,11
id_234,30,9
id_235,21,0
id_236,21,0
id_237,21,0
id_238,39,18
id_239,21,0
