id,value
id_0,29
id_1,36
id_2,6
id_3,57
id_4,9
id_5,24
id_6,34
id_7,21
id_8,70
id_9,13
id_10,32
id_11,22
id_12,42
id_13,36
id_14,57
id_15,19
id_16,21
id_17,62
id_18,21
id_19,21
id_20,9
id_21,29
id_22,34
id_23,59
id_24,34
id_25,14
id_26,19
id_27,19
id_28,19
id_29,14
id_30,21
id_31,16
id_32,23
id_33,66
id_34,32
id_35,14
id_36,32
id_37,11
id_38,0
id_39,7
id_40,4
id_41,37
id_42,34
id_43,30
id_44,6
id_45,34
id_46,57
id_47,51
id_48,19
id_49,16
id_50,38
id_51,30
id_52,6
id_53,29
id_54,16
id_55,13
id_56,36
id_57,34
id_58,11
id_59,46
id_60,14
id_61,16
id_62,24
id_63,36
id_64,37
id_65,32
id_66,59
id_67,21
id_68,35
id_69,56
id_70,32
id_71,45
id_72,49
id_73,4
id_74,30
id_75,59
id_76,51
id_77,11
id_78,51
id_79,62
id_80,22
id_81,20
id_82,4
id_83,9
id_84,26
id_85,7
id_86,6
id_87,6
id_88,16
id_89,22
id_90,0
id_91,9
id_92,22
id_93,9
id_94,6
id_95,13
id_96,11
id_97,6
id_98,9
id_99,11
id_100,14
id_101,11
id_102,6
id_103,11
id_104,18
id_105,0
id_106,21
id_107,18
id_108,11
id_109,9
id_110,18
id_111,18
id_112,9
id_113,11
id_114,32
id_115,9
id_116,23
id_117,6
id_118,39
id_119,14
id_120,11
id_121,20
id_122,14
id_123,20
id_124,6
id_125,29
id_126,29
id_127,6
id_128,22
id_129,4
id_130,4
id_131,13
id_132,23
id_133,48
id_134,27
id_135,27
id_136,20
id_137,22
id_138,22
id_139,19
id_140,18
id_141,16
id_142,20
id_143,20
id_144,30
id_145,13
id_146,27
id_147,16
id_148,13
id_149,11
id_150,6
id_151,25
id_152,15
id_153,19
id_154,9
id_155,9
id_156,9
id_157,16
id_158,18
id_159,9
id_160,40
id_161,27
id_162,51
id_163,16
id_164,27
id_165,27
id_166,29
id_167,11
id_168,48
id_169,11
id_170,23
id_171,51
id_172,9
id_173,13
id_174,42
id_175,12
id_176,19
id_177,62
id_178,37
id_179,21
id_180,29
id_181,4
id_182,44
id_183,14
id_184,18
id_185,29
id_186,39
id_187,9
id_188,11
id_189,14
id_190,21
id_191,7
id_192,22
id_193,62
id_194,9
id_195,20
id_196,34
id_197,11
id_198,6
id_199,42
id_200,6
id_201,54
id_202,41
id_203,27
id_204,46
id_205,13
id_206,24
id_207,54
id_208,4
id_209,61
id_210,53
id_211,44
id_212,19
id_213,0
id_214,9
id_215,35
id_216,29
id_217,50
id_218,26
id_219,57
id_220,32
id_221,59
id_222,31
id_223,7
id_224,51
id_225,26
id_226,32
id_227,21
id_228,36
id_229,9
id_230,6
id_231,13
id_232,13
id_233,39
id_234,0
id_235,6
id_236,4
id_237,19
id_238,34
id_239,7
id_240,14
id_241,48
id_242,14
id_243,44
id_244,19
id_245,34
id_246,36
id_247,21
id_248,70
id_249,13
id_250,32
id_251,22
id_252,44
id_253,36
id_254,70
id_255,34
id_256,29
id_257,57
id_258,21
id_259,13
id_260,0
id_261,19
id_262,34
id_263,62
id_264,62
id_265,14
id_266,22
id_267,19
id_268,4
id_269,14
id_270,21
id_271,11
id_272,19
id_273,61
id_274,29
id_275,11
id_276,36
id_277,23
id_278,0
id_279,14
id_280,0
id_281,39
id_282,34
id_283,23
id_284,0
id_285,34
id_286,54
id_287,51
id_288,19
id_289,13
id_290,37
id_291,29
id_292,11
id_293,22
id_294,23
id_295,9
id_296,30
id_297,34
id_298,13
id_299,48
id_300,19
id_301,14
id_302,29
id_303,36
id_304,37
id_305,34
id_306,35
id_307,26
